Nº_Distrito;Nombre_distrito;NOMBRE_ESPECIE;Nº_Unidades 2025;
8;FUENCARRAL - EL PARDO;Celtis australis;4433;
8;FUENCARRAL - EL PARDO;Pinus pinea;2998;
8;FUENCARRAL - EL PARDO;Melia azedarach;2354;
8;FUENCARRAL - EL PARDO;Robinia pseudoacacia;2235;
8;FUENCARRAL - EL PARDO;Styphnolobium japonicum;1797;
8;FUENCARRAL - EL PARDO;Prunus cerasifera  subsp. pissardii;1677;
8;FUENCARRAL - EL PARDO;Morus alba;1503;
8;FUENCARRAL - EL PARDO;Acer negundo;1450;
8;FUENCARRAL - EL PARDO;Cupressus sempervirens;1253;
8;FUENCARRAL - EL PARDO;Aesculus hippocastanum;1142;
8;FUENCARRAL - EL PARDO;Ligustrum japonicum;1079;
8;FUENCARRAL - EL PARDO;Populus x canadensis;1029;
8;FUENCARRAL - EL PARDO;Otros;21377;
9;MONCLOA - ARAVACA;Platanus x hispanica;5111;
9;MONCLOA - ARAVACA;Styphnolobium japonicum;2723;
9;MONCLOA - ARAVACA;Ulmus pumila;2175;
9;MONCLOA - ARAVACA;Pinus pinea;1896;
9;MONCLOA - ARAVACA;Acer negundo;1597;
9;MONCLOA - ARAVACA;Cupressus sempervirens;1456;
9;MONCLOA - ARAVACA;Robinia pseudoacacia;1138;
